Environmental Variable;nov/2020;nov/2020;dez/2020;dez/2020;jan/2021;jan/2021;fev/2021;fev/2021;mar/2021;mar/2021;abr/2021;abr/2021;mai/2021;mai/2021;jun/2021;jun/2021;jul/2021;jul/2021;ago/2021;ago/2021;set/2021;set/2021;out/2021;out/2021;nov/2021;nov/2021;dez/2021;dez/2021;jan/2022;jan/2022;fev/2022;fev/2022;mar/2022;mar/2022;abr/2022;abr/2022;mai/2022;mai/2022;jun/2022;jun/2022;jul/2022;jul/2022
;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var
CDOM (ppb);0.04–0.16;-0.01–0.21;-0.13–0.02;-0.13–-0.06;-0.14–-0.07;-0.15–-0.02;-0.06–0.06;-0.04–0.00;-0.03–0.12;-0.01–0.24;-0.13–-0.01;-0.14–-0.08;-0.15–-0.08;-0.20–0.61;0.10–0.52;-0.09–0.20;-0.21–-0.07;-0.07–0.12;-0.14–0.11;-0.20–0.03;0.03–0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0.08;0.02;0.01;0.00;0.00;0.01;0.00;0.00
Chlorophyll (µg L⁻¹);0.18–0.33;0.25–0.34;-0.07–0.32;-0.10–-0.01;-0.08–0.03;-0.06–0.03;-0.07–0.01;-0.05–0.02;-0.10–0.02;-0.08–-0.02;-0.05–0.03;-0.10–0.01;-0.11–0.02;-0.11–0.11;-0.09–0.02;-0.12–-0.03;-0.15–-0.02;-0.14–0.08;-0.02–0.03;0.00–0.17;0.17–0.18;0.00;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0.01;0.00;0.00;0.00
DO (mL L⁻¹);-0.01–0.17;-0.04–0.08;-0.04–0.10;-0.07–0.09;-0.11–0.08;-0.05–0.08;-0.17–0.04;-0.28–0.16;-0.08–0.20;0.03–0.20;0.06–0.16;-0.05–0.15;0.02–0.15;-0.31–0.16;-0.23–-0.04;-0.22–-0.00;-0.30–-0.20;-0.23–0.12;0.00–0.10;0.10–0.17;0.11–0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.00;0.00;0.00;0.00;0.02;0.00;0.00;0.00;0.01;0.00;0.00;0.00
E‑W current (m s⁻¹);-0.03–0.02;-0.02–-0.00;-0.01–0.00;-0.02–0.00;-0.01–0.01;-0.02–0.02;-0.01–0.03;-0.01–0.01;-0.01–0.03;-0.02–0.06;-0.01–0.01;-0.02–0.00;-0.03–0.01;-0.03–-0.01;-0.02–-0.00;-0.01–0.00;-0.01–0.05;-0.01–0.15;-0.02–0.01;-0.02–0.02;0.02–0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
E‑W wind (m s⁻¹);-0.44–0.39;0.13–0.33;0.10–0.23;0.12–0.24;0.02–0.16;-0.20–0.05;-0.25–-0.06;-0.18–-0.04;-0.19–0.01;-0.14–0.04;-0.05–0.19;0.05–0.21;-0.10–0.14;-0.07–0.25;-0.15–0.16;-0.07–0.10;-0.11–-0.03;-0.23–-0.05;-0.34–-0.05;-0.43–-0.07;-0.43–-0.43;0.06;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01;0.00;0.00;0.00;0.01;0.01;0.00
N‑S current (m s⁻¹);0.00–0.03;-0.02–0.01;0.00–0.05;0.00–0.02;-0.01–0.04;-0.06–0.04;-0.06–0.02;-0.02–0.02;-0.03–0.01;-0.04–0.04;-0.01–0.03;0.00–0.04;-0.01–0.02;-0.02–0.01;-0.01–0.02;-0.01–0.01;-0.22–0.03;-0.15–0.04;-0.01–0.01;-0.01–0.02;0.02–0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0.00
N‑S wind (m s⁻¹);-0.41–0.78;0.14–0.61;-0.06–0.40;0.08–0.46;-0.10–0.24;-0.41–0.30;-0.77–0.20;-0.85–-0.03;-0.99–-0.19;-0.75–0.04;-0.30–0.22;-0.02–0.41;-0.04–0.57;0.26–0.56;-0.26–0.49;-0.05–0.33;-0.13–0.07;-0.57–0.20;-0.56–0.10;-0.60–-0.33;-0.42–-0.41;0.13;0.02;0.02;0.01;0.01;0.05;0.10;0.04;0.07;0.07;0.02;0.01;0.03;0.01;0.06;0.01;0.00;0.06;0.03;0.01;0.00
Rainfall (mm³);-0.15–0.13;-0.15–-0.04;-0.16–0.26;-0.15–0.03;-0.20–0.01;-0.15–0.20;-0.12–0.08;-0.15–0.06;-0.03–0.16;-0.12–0.20;-0.14–-0.05;-0.19–0.19;-0.06–0.19;-0.05–0.29;-0.18–-0.04;-0.13–0.19;-0.04–0.24;-0.24–0.70;-0.21–0.22;-0.09–0.10;0.11–0.11;0.01;0.00;0.02;0.00;0.01;0.01;0.00;0.00;0.00;0.01;0.00;0.02;0.01;0.01;0.00;0.01;0.01;0.10;0.01;0.00;0.00
River discharge (m³ s⁻¹);-13.83–107.08;-30.73–92.97;-35.93–-12.46;-35.53–-28.19;-35.24–-28.69;-35.56–-28.50;-34.68–-26.29;-35.13–-29.02;-35.56–-28.51;-38.87–-27.60;-42.10–-30.71;-45.12–-26.80;-46.97–55.16;4.75–420.04;2.72–329.50;-26.71–23.71;-20.84–-11.02;-20.37–-11.65;-21.37–-11.12;-29.98–14.23;14.52–15.37;2063.53;1459.76;56.07;6.61;5.10;5.74;5.61;4.32;5.88;12.10;12.89;32.20;988.56;26657.14;8510.08;241.70;10.83;9.14;11.24;78.16;0.13
