cycle_rounded,size,volume_L,chaetoceros,density
2020-11-04T13:00:00Z,176,17.910992,48,2.67991856620783
2020-11-04T14:00:00Z,351,35.720217,96,2.68755366183806
2020-11-04T15:00:00Z,351,35.720217,85,2.37960480475245
2020-11-04T16:00:00Z,351,35.720217,62,1.73571173993708
2020-11-04T17:00:00Z,351,35.720217,62,1.73571173993708
2020-11-04T18:00:00Z,351,35.720217,43,1.2038000776983
2020-11-04T19:00:00Z,351,35.720217,45,1.25979077898659
2020-11-04T20:00:00Z,350,35.61845,47,1.31954085593281
2020-11-04T21:00:00Z,351,35.720217,49,1.37177218156317
2020-11-04T22:00:00Z,176,17.910992,27,1.50745419349191
2020-11-04T23:00:00Z,351,35.720217,24,0.671888415459514
2020-11-05T00:00:00Z,351,35.720217,52,1.45575823349561
2020-11-05T01:00:00Z,351,35.720217,32,0.895851220612686
2020-11-05T02:00:00Z,350,35.61845,60,1.68452024161635
2020-11-05T03:00:00Z,176,17.910992,10,0.558316367959966
2020-11-05T04:00:00Z,351,35.720217,33,0.923846571256832
2020-11-05T05:00:00Z,351,35.720217,43,1.2038000776983
2020-11-05T06:00:00Z,351,35.720217,46,1.28778612963074
2020-11-05T07:00:00Z,351,35.720217,35,0.979837272545125
2020-11-05T08:00:00Z,351,35.720217,39,1.09181867512171
2020-11-05T09:00:00Z,350,35.61845,44,1.23531484385199
2020-11-05T10:00:00Z,175,17.809225,12,0.673808096646541
2020-11-05T11:00:00Z,351,35.720217,38,1.06382332447756
2020-11-05T12:00:00Z,351,35.720217,39,1.09181867512171
2020-11-05T13:00:00Z,352,35.821984,53,1.47953837509391
2020-11-05T14:00:00Z,351,35.720217,62,1.73571173993708
2020-11-05T15:00:00Z,351,35.720217,51,1.42776288285147
2020-11-05T16:00:00Z,350,35.61845,52,1.45991754273417
2020-11-05T17:00:00Z,176,17.910992,26,1.45162255669591
2020-11-05T18:00:00Z,351,35.720217,38,1.06382332447756
2020-11-05T19:00:00Z,351,35.720217,35,0.979837272545125
2020-11-05T20:00:00Z,351,35.720217,26,0.727879116747807
2020-11-05T21:00:00Z,351,35.720217,30,0.839860519324393
2020-11-05T22:00:00Z,351,35.720217,15,0.419930259662196
2020-11-05T23:00:00Z,351,35.720217,24,0.671888415459514
2020-11-06T00:00:00Z,351,35.720217,30,0.839860519324393
2020-11-06T01:00:00Z,176,17.910992,15,0.837474551939948
2020-11-06T02:00:00Z,350,35.61845,31,0.870335458168449
2020-11-06T03:00:00Z,351,35.720217,26,0.727879116747807
2020-11-06T04:00:00Z,351,35.720217,31,0.867855869968539
2020-11-06T05:00:00Z,351,35.720217,28,0.7838698180361
2020-11-06T06:00:00Z,351,35.720217,49,1.37177218156317
2020-11-06T07:00:00Z,352,35.821984,37,1.03288528072594
2020-11-06T08:00:00Z,352,35.821984,26,0.725811278347955
2020-11-06T09:00:00Z,352,35.821984,34,0.949137825531941
2020-11-06T10:00:00Z,350,35.61845,38,1.06686281969036
2020-11-06T11:00:00Z,351,35.720217,36,1.00783262318927
2020-11-06T12:00:00Z,351,35.720217,67,1.87568849315781
2020-11-06T13:00:00Z,350,35.61845,79,2.21795165146153
2020-11-06T14:00:00Z,351,35.720217,97,2.7155490124822
2020-11-06T15:00:00Z,351,35.720217,91,2.54757690861733
2020-11-06T16:00:00Z,351,35.720217,118,3.30345137600928
2020-11-06T17:00:00Z,351,35.720217,80,2.23962805153171
2020-11-06T18:00:00Z,351,35.720217,75,2.09965129831098
2020-11-06T19:00:00Z,351,35.720217,58,1.62373033736049
2020-11-06T20:00:00Z,351,35.720217,98,2.74354436312635
2020-11-06T21:00:00Z,351,35.720217,50,1.39976753220732
2020-11-06T22:00:00Z,352,35.821984,55,1.53537001188991
2020-11-06T23:00:00Z,351,35.720217,55,1.53974428542805
2020-11-07T00:00:00Z,351,35.720217,53,1.48375358413976
2020-11-07T01:00:00Z,176,17.910992,21,1.17246437271593
2020-11-07T02:00:00Z,350,35.61845,57,1.60029422953554
2020-11-07T03:00:00Z,350,35.61845,47,1.31954085593281
2020-11-07T04:00:00Z,352,35.821984,71,1.98202310625788
2020-11-07T05:00:00Z,351,35.720217,47,1.31578148027488
2020-11-07T06:00:00Z,351,35.720217,34,0.951841921900978
2020-11-07T07:00:00Z,351,35.720217,64,1.79170244122537
2020-11-07T08:00:00Z,350,35.61845,56,1.57221889217526
2020-11-07T09:00:00Z,350,35.61845,72,2.02142428993962
2020-11-07T10:00:00Z,351,35.720217,53,1.48375358413976
2020-11-07T11:00:00Z,350,35.61845,65,1.82489692841772
2020-11-07T12:00:00Z,350,35.61845,58,1.62836956689581
2020-11-07T13:00:00Z,351,35.720217,88,2.46359085668489
2020-11-07T14:00:00Z,352,35.821984,49,1.36787510150192
2020-11-07T15:00:00Z,351,35.720217,181,5.0671584665905
2020-11-07T16:00:00Z,351,35.720217,205,5.73904688205002
2020-11-07T17:00:00Z,351,35.720217,120,3.35944207729757
2020-11-07T18:00:00Z,351,35.720217,108,3.02349786956781
2020-11-07T19:00:00Z,351,35.720217,90,2.51958155797318
2020-11-07T20:00:00Z,352,35.821984,74,2.06577056145187
2020-11-07T21:00:00Z,351,35.720217,45,1.25979077898659
2020-11-07T22:00:00Z,351,35.720217,73,2.04366059702269
2020-11-07T23:00:00Z,351,35.720217,49,1.37177218156317
2020-11-08T00:00:00Z,351,35.720217,77,2.15564199959927
2020-11-08T01:00:00Z,351,35.720217,48,1.34377683091903
2020-11-08T02:00:00Z,351,35.720217,45,1.25979077898659
2020-11-08T03:00:00Z,352,35.821984,45,1.25621182790992
2020-11-08T04:00:00Z,351,35.720217,34,0.951841921900978
2020-11-08T05:00:00Z,351,35.720217,60,1.67972103864879
2020-11-08T06:00:00Z,351,35.720217,32,0.895851220612686
2020-11-08T07:00:00Z,351,35.720217,51,1.42776288285147
2020-11-08T08:00:00Z,350,35.61845,47,1.31954085593281
2020-11-08T09:00:00Z,351,35.720217,44,1.23179542834244
2020-11-08T10:00:00Z,351,35.720217,28,0.7838698180361
2020-11-08T11:00:00Z,351,35.720217,43,1.2038000776983
2020-11-08T12:00:00Z,350,35.61845,54,1.51606821745472
2020-11-08T13:00:00Z,352,35.821984,61,1.7028649222779
2020-11-08T14:00:00Z,351,35.720217,59,1.65172568800464
2020-11-08T15:00:00Z,351,35.720217,93,2.60356760990562
2020-11-08T16:00:00Z,351,35.720217,57,1.59573498671635
2020-11-08T17:00:00Z,351,35.720217,71,1.9876698957344
2020-11-08T18:00:00Z,351,35.720217,47,1.31578148027488
2020-11-08T19:00:00Z,351,35.720217,43,1.2038000776983
2020-11-08T20:00:00Z,351,35.720217,57,1.59573498671635
2020-11-08T21:00:00Z,350,35.61845,28,0.786109446087632
2020-11-08T22:00:00Z,351,35.720217,32,0.895851220612686
2020-11-08T23:00:00Z,351,35.720217,31,0.867855869968539
2020-11-09T00:00:00Z,351,35.720217,36,1.00783262318927
2020-11-09T01:00:00Z,351,35.720217,33,0.923846571256832
2020-11-09T02:00:00Z,351,35.720217,20,0.559907012882928
2020-11-09T03:00:00Z,350,35.61845,22,0.617657421925996
2020-11-09T04:00:00Z,350,35.61845,16,0.449205397764361
2020-11-09T05:00:00Z,351,35.720217,17,0.475920960950489
2020-11-09T06:00:00Z,351,35.720217,33,0.923846571256832
2020-11-09T07:00:00Z,351,35.720217,43,1.2038000776983
2020-11-09T08:00:00Z,351,35.720217,33,0.923846571256832
2020-11-09T09:00:00Z,351,35.720217,30,0.839860519324393
2020-11-09T10:00:00Z,100,10.1767,14,1.37569153065336
2020-11-09T11:00:00Z,350,35.61845,23,0.645732759286269
2020-11-09T12:00:00Z,176,17.910992,9,0.502484731163969
2020-11-09T13:00:00Z,351,35.720217,32,0.895851220612686
2020-11-09T14:00:00Z,350,35.61845,31,0.870335458168449
2020-11-09T15:00:00Z,352,35.821984,19,0.530400549561967
2020-11-09T16:00:00Z,350,35.61845,45,1.26339018121227
2020-11-09T17:00:00Z,352,35.821984,26,0.725811278347955
2020-11-09T18:00:00Z,351,35.720217,21,0.587902363527075
2020-11-09T19:00:00Z,351,35.720217,33,0.923846571256832
2020-11-09T20:00:00Z,175,17.809225,18,1.01071214496981
2020-11-09T21:00:00Z,350,35.61845,47,1.31954085593281
2020-11-09T22:00:00Z,352,35.821984,17,0.474568912765971
2020-11-09T23:00:00Z,350,35.61845,8,0.22460269888218
2020-11-10T00:00:00Z,351,35.720217,21,0.587902363527075
2020-11-10T01:00:00Z,350,35.61845,13,0.364979385683543
2020-11-10T02:00:00Z,351,35.720217,8,0.223962805153171
2020-11-10T03:00:00Z,352,35.821984,8,0.223326547183986
2020-11-10T04:00:00Z,351,35.720217,13,0.363939558373904
2020-11-10T05:00:00Z,350,35.61845,8,0.22460269888218
2020-11-10T06:00:00Z,350,35.61845,28,0.786109446087632
2020-11-10T07:00:00Z,353,35.923751,46,1.28048989093594
2020-11-10T08:00:00Z,351,35.720217,48,1.34377683091903
2020-11-10T09:00:00Z,351,35.720217,27,0.755874467391953
2020-11-10T10:00:00Z,351,35.720217,55,1.53974428542805
2020-11-10T11:00:00Z,351,35.720217,25,0.699883766103661
2020-11-10T12:00:00Z,351,35.720217,31,0.867855869968539
2020-11-10T13:00:00Z,351,35.720217,21,0.587902363527075
2020-11-10T14:00:00Z,350,35.61845,36,1.01071214496981
2020-11-10T15:00:00Z,351,35.720217,50,1.39976753220732
2020-11-10T16:00:00Z,351,35.720217,35,0.979837272545125
2020-11-10T17:00:00Z,350,35.61845,43,1.20723950649172
2020-11-10T18:00:00Z,351,35.720217,47,1.31578148027488
2020-11-10T19:00:00Z,351,35.720217,38,1.06382332447756
2020-11-10T20:00:00Z,351,35.720217,55,1.53974428542805
2020-11-10T21:00:00Z,351,35.720217,25,0.699883766103661
2020-11-10T22:00:00Z,351,35.720217,46,1.28778612963074
2020-11-10T23:00:00Z,351,35.720217,21,0.587902363527075
2020-11-11T00:00:00Z,351,35.720217,25,0.699883766103661
2020-11-11T01:00:00Z,351,35.720217,34,0.951841921900978
2020-11-11T02:00:00Z,351,35.720217,44,1.23179542834244
2020-11-11T03:00:00Z,350,35.61845,27,0.758034108727359
2020-11-11T04:00:00Z,352,35.821984,41,1.14454855431793
2020-11-11T05:00:00Z,351,35.720217,40,1.11981402576586
2020-11-11T06:00:00Z,351,35.720217,30,0.839860519324393
2020-11-11T07:00:00Z,351,35.720217,18,0.503916311594636
2020-11-11T08:00:00Z,351,35.720217,35,0.979837272545125
2020-11-11T09:00:00Z,351,35.720217,22,0.615897714171221
2020-11-11T10:00:00Z,350,35.61845,36,1.01071214496981
2020-11-11T11:00:00Z,352,35.821984,45,1.25621182790992
2020-11-11T12:00:00Z,350,35.61845,29,0.814184783447904
2020-11-11T13:00:00Z,353,35.923751,54,1.50318378501176
2020-11-11T14:00:00Z,351,35.720217,50,1.39976753220732
2020-11-11T15:00:00Z,351,35.720217,48,1.34377683091903
2020-11-11T16:00:00Z,350,35.61845,60,1.68452024161635
2020-11-11T17:00:00Z,350,35.61845,44,1.23531484385199
2020-11-11T18:00:00Z,351,35.720217,52,1.45575823349561
2020-11-11T19:00:00Z,351,35.720217,98,2.74354436312635
2020-11-11T20:00:00Z,350,35.61845,63,1.76874625369717
2020-11-11T21:00:00Z,353,35.923751,54,1.50318378501176
2020-11-11T22:00:00Z,351,35.720217,47,1.31578148027488
2020-11-11T23:00:00Z,351,35.720217,28,0.7838698180361
2020-11-12T00:00:00Z,350,35.61845,46,1.29146551857254
2020-11-12T01:00:00Z,351,35.720217,41,1.14780937641
2020-11-12T02:00:00Z,350,35.61845,35,0.98263680760954
2020-11-12T03:00:00Z,351,35.720217,40,1.11981402576586
2020-11-12T04:00:00Z,352,35.821984,23,0.64206382315396
2020-11-12T05:00:00Z,351,35.720217,42,1.17580472705415
2020-11-12T06:00:00Z,351,35.720217,3,0.0839860519324393
2020-11-12T07:00:00Z,352,35.821984,56,1.5632858302879
2020-11-12T08:00:00Z,351,35.720217,71,1.9876698957344
2020-11-12T09:00:00Z,351,35.720217,53,1.48375358413976
2020-11-12T10:00:00Z,351,35.720217,87,2.43559550604074
2020-11-12T11:00:00Z,351,35.720217,62,1.73571173993708
2020-11-12T12:00:00Z,351,35.720217,39,1.09181867512171
2020-11-12T13:00:00Z,351,35.720217,37,1.03582797383342
2020-11-12T14:00:00Z,351,35.720217,43,1.2038000776983
2020-11-12T15:00:00Z,350,35.61845,41,1.15108883177118
2020-11-12T16:00:00Z,351,35.720217,55,1.53974428542805
2020-11-12T17:00:00Z,351,35.720217,37,1.03582797383342
2020-11-12T18:00:00Z,352,35.821984,48,1.33995928310392
2020-11-12T19:00:00Z,352,35.821984,64,1.78661237747189
2020-11-12T20:00:00Z,351,35.720217,83,2.32361410346415
