cycle_rounded,size,volume_L,compl_guinardia_dactyliosolen,density
2020-11-04T13:00:00Z,176,17.910992,57,3.1824032973718
2020-11-04T14:00:00Z,351,35.720217,104,2.91151646699123
2020-11-04T15:00:00Z,351,35.720217,87,2.43559550604074
2020-11-04T16:00:00Z,351,35.720217,78,2.18363735024342
2020-11-04T17:00:00Z,351,35.720217,92,2.57557225926147
2020-11-04T18:00:00Z,351,35.720217,123,3.44342812923001
2020-11-04T19:00:00Z,351,35.720217,97,2.7155490124822
2020-11-04T20:00:00Z,350,35.61845,129,3.62171851947516
2020-11-04T21:00:00Z,351,35.720217,158,4.42326540177513
2020-11-04T22:00:00Z,176,17.910992,63,3.51739311814778
2020-11-04T23:00:00Z,351,35.720217,79,2.21163270088757
2020-11-05T00:00:00Z,351,35.720217,111,3.10748392150025
2020-11-05T01:00:00Z,351,35.720217,118,3.30345137600928
2020-11-05T02:00:00Z,350,35.61845,112,3.14443778435053
2020-11-05T03:00:00Z,176,17.910992,57,3.1824032973718
2020-11-05T04:00:00Z,351,35.720217,117,3.27545602536513
2020-11-05T05:00:00Z,351,35.720217,132,3.69538628502733
2020-11-05T06:00:00Z,351,35.720217,127,3.5554095318066
2020-11-05T07:00:00Z,351,35.720217,114,3.19146997343269
2020-11-05T08:00:00Z,351,35.720217,109,3.05149322021196
2020-11-05T09:00:00Z,350,35.61845,80,2.2460269888218
2020-11-05T10:00:00Z,175,17.809225,33,1.85297226577799
2020-11-05T11:00:00Z,351,35.720217,76,2.12764664895513
2020-11-05T12:00:00Z,351,35.720217,69,1.9316791944461
2020-11-05T13:00:00Z,352,35.821984,123,3.43364566295379
2020-11-05T14:00:00Z,351,35.720217,122,3.41543277858586
2020-11-05T15:00:00Z,351,35.720217,94,2.63156296054976
2020-11-05T16:00:00Z,350,35.61845,91,2.5548556997848
2020-11-05T17:00:00Z,176,17.910992,52,2.90324511339182
2020-11-05T18:00:00Z,351,35.720217,110,3.07948857085611
2020-11-05T19:00:00Z,351,35.720217,82,2.29561875282001
2020-11-05T20:00:00Z,351,35.720217,101,2.82753041505879
2020-11-05T21:00:00Z,351,35.720217,94,2.63156296054976
2020-11-05T22:00:00Z,351,35.720217,74,2.07165594766684
2020-11-05T23:00:00Z,351,35.720217,83,2.32361410346415
2020-11-06T00:00:00Z,351,35.720217,68,1.90368384380196
2020-11-06T01:00:00Z,176,17.910992,42,2.34492874543186
2020-11-06T02:00:00Z,350,35.61845,120,3.36904048323271
2020-11-06T03:00:00Z,351,35.720217,143,4.00333514211294
2020-11-06T04:00:00Z,351,35.720217,104,2.91151646699123
2020-11-06T05:00:00Z,351,35.720217,137,3.83536303824806
2020-11-06T06:00:00Z,351,35.720217,156,4.36727470048684
2020-11-06T07:00:00Z,352,35.821984,155,4.32695185168973
2020-11-06T08:00:00Z,352,35.821984,149,4.15945694130174
2020-11-06T09:00:00Z,352,35.821984,142,3.96404621251576
2020-11-06T10:00:00Z,350,35.61845,101,2.83560907338753
2020-11-06T11:00:00Z,351,35.720217,116,3.24746067472099
2020-11-06T12:00:00Z,351,35.720217,156,4.36727470048684
2020-11-06T13:00:00Z,350,35.61845,138,3.87439655571761
2020-11-06T14:00:00Z,351,35.720217,168,4.7032189082166
2020-11-06T15:00:00Z,351,35.720217,154,4.31128399919855
2020-11-06T16:00:00Z,351,35.720217,174,4.87119101208148
2020-11-06T17:00:00Z,351,35.720217,196,5.4870887262527
2020-11-06T18:00:00Z,351,35.720217,204,5.71105153140587
2020-11-06T19:00:00Z,351,35.720217,154,4.31128399919855
2020-11-06T20:00:00Z,351,35.720217,199,5.57107477818514
2020-11-06T21:00:00Z,351,35.720217,150,4.19930259662196
2020-11-06T22:00:00Z,352,35.821984,134,3.74071966533177
2020-11-06T23:00:00Z,351,35.720217,166,4.64722820692831
2020-11-07T00:00:00Z,351,35.720217,144,4.03133049275709
2020-11-07T01:00:00Z,176,17.910992,82,4.57819421727172
2020-11-07T02:00:00Z,350,35.61845,200,5.61506747205451
2020-11-07T03:00:00Z,350,35.61845,170,4.77280735124634
2020-11-07T04:00:00Z,352,35.821984,254,7.09061787309156
2020-11-07T05:00:00Z,351,35.720217,194,5.43109802496441
2020-11-07T06:00:00Z,351,35.720217,173,4.84319566143733
2020-11-07T07:00:00Z,351,35.720217,227,6.35494459622124
2020-11-07T08:00:00Z,350,35.61845,183,5.13778673692988
2020-11-07T09:00:00Z,350,35.61845,199,5.58699213469424
2020-11-07T10:00:00Z,351,35.720217,238,6.66289345330685
2020-11-07T11:00:00Z,350,35.61845,231,6.48540293022296
2020-11-07T12:00:00Z,350,35.61845,188,5.27816342373124
2020-11-07T13:00:00Z,351,35.720217,256,7.16680976490149
