cycle_rounded,size,volume_L,hemidiscus,density
2020-11-04T13:00:00Z,176,17.910992,48,2.67991856620783
2020-11-04T14:00:00Z,351,35.720217,126,3.52741418116245
2020-11-04T15:00:00Z,351,35.720217,149,4.17130724597782
2020-11-04T16:00:00Z,351,35.720217,118,3.30345137600928
2020-11-04T17:00:00Z,351,35.720217,121,3.38743742794172
2020-11-04T18:00:00Z,351,35.720217,166,4.64722820692831
2020-11-04T19:00:00Z,351,35.720217,106,2.96750716827952
2020-11-04T20:00:00Z,350,35.61845,111,3.11636244699025
2020-11-04T21:00:00Z,351,35.720217,124,3.47142347987416
2020-11-04T22:00:00Z,176,17.910992,46,2.56825529261584
2020-11-04T23:00:00Z,351,35.720217,96,2.68755366183806
2020-11-05T00:00:00Z,351,35.720217,78,2.18363735024342
2020-11-05T01:00:00Z,351,35.720217,122,3.41543277858586
2020-11-05T02:00:00Z,350,35.61845,151,4.23937594140116
2020-11-05T03:00:00Z,176,17.910992,54,3.01490838698381
2020-11-05T04:00:00Z,351,35.720217,136,3.80736768760391
2020-11-05T05:00:00Z,351,35.720217,154,4.31128399919855
2020-11-05T06:00:00Z,351,35.720217,148,4.14331189533367
2020-11-05T07:00:00Z,351,35.720217,200,5.59907012882929
2020-11-05T08:00:00Z,351,35.720217,177,4.95517706401392
2020-11-05T09:00:00Z,350,35.61845,122,3.42519115795325
2020-11-05T10:00:00Z,175,17.809225,61,3.42519115795325
2020-11-05T11:00:00Z,351,35.720217,123,3.44342812923001
2020-11-05T12:00:00Z,351,35.720217,76,2.12764664895513
2020-11-05T13:00:00Z,352,35.821984,174,4.8573524012517
2020-11-05T14:00:00Z,351,35.720217,233,6.52291670008612
2020-11-05T15:00:00Z,351,35.720217,158,4.42326540177513
2020-11-05T16:00:00Z,350,35.61845,111,3.11636244699025
2020-11-05T17:00:00Z,176,17.910992,62,3.46156148135179
2020-11-05T18:00:00Z,351,35.720217,101,2.82753041505879
2020-11-05T19:00:00Z,351,35.720217,119,3.33144672665342
2020-11-05T20:00:00Z,351,35.720217,135,3.77937233695977
2020-11-05T21:00:00Z,351,35.720217,143,4.00333514211294
2020-11-05T22:00:00Z,351,35.720217,111,3.10748392150025
2020-11-05T23:00:00Z,351,35.720217,89,2.49158620732903
2020-11-06T00:00:00Z,351,35.720217,79,2.21163270088757
2020-11-06T01:00:00Z,176,17.910992,38,2.12160219824787
2020-11-06T02:00:00Z,350,35.61845,161,4.52012931500388
2020-11-06T03:00:00Z,351,35.720217,158,4.42326540177513
2020-11-06T04:00:00Z,351,35.720217,214,5.99100503784734
2020-11-06T05:00:00Z,351,35.720217,225,6.29895389493295
2020-11-06T06:00:00Z,351,35.720217,218,6.10298644042392
2020-11-06T07:00:00Z,352,35.821984,219,6.11356422916162
2020-11-06T08:00:00Z,352,35.821984,255,7.11853369148956
2020-11-06T09:00:00Z,352,35.821984,228,6.36480659474361
2020-11-06T10:00:00Z,350,35.61845,154,4.32360195348197
2020-11-06T11:00:00Z,351,35.720217,138,3.86335838889221
2020-11-06T12:00:00Z,351,35.720217,135,3.77937233695977
2020-11-06T13:00:00Z,350,35.61845,170,4.77280735124634
2020-11-06T14:00:00Z,351,35.720217,185,5.17913986916709
2020-11-06T15:00:00Z,351,35.720217,184,5.15114451852294
2020-11-06T16:00:00Z,351,35.720217,206,5.76704223269416
2020-11-06T17:00:00Z,351,35.720217,164,4.59123750564001
2020-11-06T18:00:00Z,351,35.720217,136,3.80736768760391
2020-11-06T19:00:00Z,351,35.720217,146,4.08732119404538
2020-11-06T20:00:00Z,351,35.720217,147,4.11531654468952
2020-11-06T21:00:00Z,351,35.720217,121,3.38743742794172
2020-11-06T22:00:00Z,352,35.821984,123,3.43364566295379
2020-11-06T23:00:00Z,351,35.720217,151,4.22729794726611
2020-11-07T00:00:00Z,351,35.720217,119,3.33144672665342
2020-11-07T01:00:00Z,176,17.910992,62,3.46156148135179
2020-11-07T02:00:00Z,350,35.61845,134,3.76209520627652
2020-11-07T03:00:00Z,350,35.61845,173,4.85703336332715
2020-11-07T04:00:00Z,352,35.821984,261,7.28602860187755
2020-11-07T05:00:00Z,351,35.720217,155,4.3392793498427
2020-11-07T06:00:00Z,351,35.720217,183,5.1231491678788
2020-11-07T07:00:00Z,351,35.720217,238,6.66289345330685
2020-11-07T08:00:00Z,350,35.61845,172,4.82895802596688
2020-11-07T09:00:00Z,350,35.61845,214,6.00812219509833
2020-11-07T10:00:00Z,351,35.720217,167,4.67522355757245
2020-11-07T11:00:00Z,350,35.61845,189,5.30623876109151
2020-11-07T12:00:00Z,350,35.61845,159,4.46397864028334
2020-11-07T13:00:00Z,351,35.720217,191,5.34711197303197
2020-11-07T14:00:00Z,352,35.821984,103,2.87532929499382
2020-11-07T15:00:00Z,351,35.720217,147,4.11531654468952
2020-11-07T16:00:00Z,351,35.720217,144,4.03133049275709
2020-11-07T17:00:00Z,351,35.720217,129,3.61140023309489
2020-11-07T18:00:00Z,351,35.720217,143,4.00333514211294
2020-11-07T19:00:00Z,351,35.720217,117,3.27545602536513
2020-11-07T20:00:00Z,352,35.821984,129,3.60114057334178
2020-11-07T21:00:00Z,351,35.720217,105,2.93951181763537
2020-11-07T22:00:00Z,351,35.720217,89,2.49158620732903
2020-11-07T23:00:00Z,351,35.720217,71,1.9876698957344
2020-11-08T00:00:00Z,351,35.720217,71,1.9876698957344
2020-11-08T01:00:00Z,351,35.720217,60,1.67972103864879
2020-11-08T02:00:00Z,351,35.720217,101,2.82753041505879
2020-11-08T03:00:00Z,352,35.821984,100,2.79158183979983
2020-11-08T04:00:00Z,351,35.720217,108,3.02349786956781
2020-11-08T05:00:00Z,351,35.720217,184,5.15114451852294
2020-11-08T06:00:00Z,351,35.720217,125,3.4994188305183
2020-11-08T07:00:00Z,351,35.720217,153,4.2832886485544
2020-11-08T08:00:00Z,350,35.61845,116,3.25673913379162
2020-11-08T09:00:00Z,351,35.720217,122,3.41543277858586
2020-11-08T10:00:00Z,351,35.720217,115,3.21946532407684
2020-11-08T11:00:00Z,351,35.720217,140,3.9193490901805
2020-11-08T12:00:00Z,350,35.61845,101,2.83560907338753
2020-11-08T13:00:00Z,352,35.821984,116,3.2382349341678
2020-11-08T14:00:00Z,351,35.720217,88,2.46359085668489
2020-11-08T15:00:00Z,351,35.720217,122,3.41543277858586
2020-11-08T16:00:00Z,351,35.720217,104,2.91151646699123
2020-11-08T17:00:00Z,351,35.720217,127,3.5554095318066
2020-11-08T18:00:00Z,351,35.720217,98,2.74354436312635
2020-11-08T19:00:00Z,351,35.720217,132,3.69538628502733
2020-11-08T20:00:00Z,351,35.720217,125,3.4994188305183
2020-11-08T21:00:00Z,350,35.61845,95,2.66715704922589
2020-11-08T22:00:00Z,351,35.720217,114,3.19146997343269
2020-11-08T23:00:00Z,351,35.720217,111,3.10748392150025
2020-11-09T00:00:00Z,351,35.720217,129,3.61140023309489
2020-11-09T01:00:00Z,351,35.720217,119,3.33144672665342
2020-11-09T02:00:00Z,351,35.720217,83,2.32361410346415
2020-11-09T03:00:00Z,350,35.61845,112,3.14443778435053
2020-11-09T04:00:00Z,350,35.61845,85,2.38640367562317
2020-11-09T05:00:00Z,351,35.720217,112,3.1354792721444
2020-11-09T06:00:00Z,351,35.720217,114,3.19146997343269
2020-11-09T07:00:00Z,351,35.720217,146,4.08732119404538
2020-11-09T08:00:00Z,351,35.720217,152,4.25529329791026
2020-11-09T09:00:00Z,351,35.720217,141,3.94734444082465
2020-11-09T10:00:00Z,100,10.1767,41,4.02881091119911
2020-11-09T11:00:00Z,350,35.61845,114,3.20058845907107
2020-11-09T12:00:00Z,176,17.910992,61,3.40572984455579
2020-11-09T13:00:00Z,351,35.720217,98,2.74354436312635
2020-11-09T14:00:00Z,350,35.61845,96,2.69523238658617
2020-11-09T15:00:00Z,352,35.821984,78,2.17743383504387
2020-11-09T16:00:00Z,350,35.61845,70,1.96527361521908
2020-11-09T17:00:00Z,352,35.821984,107,2.98699256858582
2020-11-09T18:00:00Z,351,35.720217,68,1.90368384380196
2020-11-09T19:00:00Z,351,35.720217,72,2.01566524637854
2020-11-09T20:00:00Z,175,17.809225,46,2.58293103714508
2020-11-09T21:00:00Z,350,35.61845,96,2.69523238658617
2020-11-09T22:00:00Z,352,35.821984,74,2.06577056145187
2020-11-09T23:00:00Z,350,35.61845,67,1.88104760313826
2020-11-10T00:00:00Z,351,35.720217,80,2.23962805153171
2020-11-10T01:00:00Z,350,35.61845,78,2.18987631410126
2020-11-10T02:00:00Z,351,35.720217,72,2.01566524637854
2020-11-10T03:00:00Z,352,35.821984,55,1.53537001188991
2020-11-10T04:00:00Z,351,35.720217,60,1.67972103864879
2020-11-10T05:00:00Z,350,35.61845,88,2.47062968770399
2020-11-10T06:00:00Z,350,35.61845,87,2.44255435034371
2020-11-10T07:00:00Z,353,35.923751,94,2.61665325539084
2020-11-10T08:00:00Z,351,35.720217,95,2.65955831119391
2020-11-10T09:00:00Z,351,35.720217,100,2.79953506441464
2020-11-10T10:00:00Z,351,35.720217,124,3.47142347987416
2020-11-10T11:00:00Z,351,35.720217,101,2.82753041505879
2020-11-10T12:00:00Z,351,35.720217,117,3.27545602536513
2020-11-10T13:00:00Z,351,35.720217,103,2.88352111634708
2020-11-10T14:00:00Z,350,35.61845,89,2.49870502506426
2020-11-10T15:00:00Z,351,35.720217,98,2.74354436312635
2020-11-10T16:00:00Z,351,35.720217,98,2.74354436312635
2020-11-10T17:00:00Z,350,35.61845,92,2.58293103714508
2020-11-10T18:00:00Z,351,35.720217,78,2.18363735024342
2020-11-10T19:00:00Z,351,35.720217,82,2.29561875282001
2020-11-10T20:00:00Z,351,35.720217,105,2.93951181763537
2020-11-10T21:00:00Z,351,35.720217,97,2.7155490124822
2020-11-10T22:00:00Z,351,35.720217,124,3.47142347987416
2020-11-10T23:00:00Z,351,35.720217,90,2.51958155797318
2020-11-11T00:00:00Z,351,35.720217,75,2.09965129831098
2020-11-11T01:00:00Z,351,35.720217,83,2.32361410346415
2020-11-11T02:00:00Z,351,35.720217,89,2.49158620732903
2020-11-11T03:00:00Z,350,35.61845,79,2.21795165146153
2020-11-11T04:00:00Z,352,35.821984,89,2.48450783742185
2020-11-11T05:00:00Z,351,35.720217,131,3.66739093438318
2020-11-11T06:00:00Z,351,35.720217,120,3.35944207729757
2020-11-11T07:00:00Z,351,35.720217,104,2.91151646699123
2020-11-11T08:00:00Z,351,35.720217,101,2.82753041505879
2020-11-11T09:00:00Z,351,35.720217,100,2.79953506441464
2020-11-11T10:00:00Z,350,35.61845,71,1.99334895257935
2020-11-11T11:00:00Z,352,35.821984,75,2.09368637984987
2020-11-11T12:00:00Z,350,35.61845,68,1.90912294049853
2020-11-11T13:00:00Z,353,35.923751,87,2.4217960980745
2020-11-11T14:00:00Z,351,35.720217,71,1.9876698957344
2020-11-11T15:00:00Z,351,35.720217,63,1.76370709058122
2020-11-11T16:00:00Z,350,35.61845,57,1.60029422953554
2020-11-11T17:00:00Z,350,35.61845,51,1.4318422053739
2020-11-11T18:00:00Z,351,35.720217,48,1.34377683091903
2020-11-11T19:00:00Z,351,35.720217,70,1.95967454509025
2020-11-11T20:00:00Z,350,35.61845,72,2.02142428993962
2020-11-11T21:00:00Z,353,35.923751,92,2.56097978187189
2020-11-11T22:00:00Z,351,35.720217,83,2.32361410346415
2020-11-11T23:00:00Z,351,35.720217,70,1.95967454509025
2020-11-12T00:00:00Z,350,35.61845,68,1.90912294049853
2020-11-12T01:00:00Z,351,35.720217,73,2.04366059702269
2020-11-12T02:00:00Z,350,35.61845,71,1.99334895257935
2020-11-12T03:00:00Z,351,35.720217,58,1.62373033736049
2020-11-12T04:00:00Z,352,35.821984,67,1.87035983266588
2020-11-12T05:00:00Z,351,35.720217,65,1.81969779186952
2020-11-12T06:00:00Z,351,35.720217,52,1.45575823349561
2020-11-12T07:00:00Z,352,35.821984,87,2.42867620062585
2020-11-12T08:00:00Z,351,35.720217,92,2.57557225926147
2020-11-12T09:00:00Z,351,35.720217,92,2.57557225926147
2020-11-12T10:00:00Z,351,35.720217,78,2.18363735024342
2020-11-12T11:00:00Z,351,35.720217,58,1.62373033736049
2020-11-12T12:00:00Z,351,35.720217,80,2.23962805153171
2020-11-12T13:00:00Z,351,35.720217,81,2.26762340217586
2020-11-12T14:00:00Z,351,35.720217,65,1.81969779186952
2020-11-12T15:00:00Z,350,35.61845,48,1.34761619329308
2020-11-12T16:00:00Z,351,35.720217,44,1.23179542834244
2020-11-12T17:00:00Z,351,35.720217,28,0.7838698180361
2020-11-12T18:00:00Z,352,35.821984,42,1.17246437271593
2020-11-12T19:00:00Z,352,35.821984,51,1.42370673829791
2020-11-12T20:00:00Z,351,35.720217,62,1.73571173993708
2020-11-12T21:00:00Z,351,35.720217,49,1.37177218156317
2020-11-12T22:00:00Z,351,35.720217,47,1.31578148027488
2020-11-12T23:00:00Z,350,35.61845,57,1.60029422953554
2020-11-13T00:00:00Z,351,35.720217,46,1.28778612963074
2020-11-13T01:00:00Z,351,35.720217,36,1.00783262318927
2020-11-13T02:00:00Z,351,35.720217,45,1.25979077898659
2020-11-13T03:00:00Z,352,35.821984,72,2.00993892465588
2020-11-13T04:00:00Z,352,35.821984,42,1.17246437271593
2020-11-13T05:00:00Z,351,35.720217,67,1.87568849315781
2020-11-13T06:00:00Z,351,35.720217,57,1.59573498671635
2020-11-13T07:00:00Z,351,35.720217,40,1.11981402576586
2020-11-13T08:00:00Z,351,35.720217,55,1.53974428542805
2020-11-13T09:00:00Z,350,35.61845,44,1.23531484385199
2020-11-13T10:00:00Z,351,35.720217,52,1.45575823349561
2020-11-13T11:00:00Z,351,35.720217,45,1.25979077898659
2020-11-13T12:00:00Z,350,35.61845,52,1.45991754273417
2020-11-13T13:00:00Z,350,35.61845,59,1.65644490425608
2020-11-13T14:00:00Z,351,35.720217,49,1.37177218156317
2020-11-13T15:00:00Z,351,35.720217,51,1.42776288285147
2020-11-13T16:00:00Z,351,35.720217,50,1.39976753220732
2020-11-13T17:00:00Z,351,35.720217,30,0.839860519324393
2020-11-13T18:00:00Z,350,35.61845,36,1.01071214496981
2020-11-13T19:00:00Z,351,35.720217,37,1.03582797383342
2020-11-13T20:00:00Z,351,35.720217,54,1.51174893478391
2020-11-13T21:00:00Z,350,35.61845,46,1.29146551857254
2020-11-13T22:00:00Z,350,35.61845,60,1.68452024161635
2020-11-13T23:00:00Z,352,35.821984,47,1.31204346470592
2020-11-14T00:00:00Z,351,35.720217,40,1.11981402576586
2020-11-14T01:00:00Z,352,35.821984,33,0.921222007133943
2020-11-14T02:00:00Z,350,35.61845,32,0.898410795528722
2020-11-14T03:00:00Z,351,35.720217,57,1.59573498671635
2020-11-14T04:00:00Z,351,35.720217,29,0.811865168680246
2020-11-14T05:00:00Z,350,35.61845,31,0.870335458168449
2020-11-14T06:00:00Z,351,35.720217,60,1.67972103864879
2020-11-14T07:00:00Z,351,35.720217,38,1.06382332447756
2020-11-14T08:00:00Z,351,35.720217,36,1.00783262318927
2020-11-14T09:00:00Z,351,35.720217,60,1.67972103864879
2020-11-14T10:00:00Z,352,35.821984,50,1.39579091989991
2020-11-14T11:00:00Z,351,35.720217,51,1.42776288285147
2020-11-14T12:00:00Z,351,35.720217,40,1.11981402576586
2020-11-14T13:00:00Z,350,35.61845,42,1.17916416913145
2020-11-14T14:00:00Z,350,35.61845,48,1.34761619329308
2020-11-14T15:00:00Z,351,35.720217,61,1.70771638929293
2020-11-14T16:00:00Z,350,35.61845,25,0.701883434006814
2020-11-14T17:00:00Z,351,35.720217,50,1.39976753220732
2020-11-14T18:00:00Z,350,35.61845,37,1.03878748233008
2020-11-14T19:00:00Z,351,35.720217,30,0.839860519324393
2020-11-14T20:00:00Z,351,35.720217,32,0.895851220612686
2020-11-14T21:00:00Z,350,35.61845,49,1.37569153065336
2020-11-14T22:00:00Z,175,17.809225,31,1.7406709163369
2020-11-14T23:00:00Z,350,35.61845,45,1.26339018121227
2020-11-15T00:00:00Z,352,35.821984,42,1.17246437271593
2020-11-15T01:00:00Z,351,35.720217,21,0.587902363527075
2020-11-15T02:00:00Z,351,35.720217,32,0.895851220612686
2020-11-15T03:00:00Z,351,35.720217,31,0.867855869968539
2020-11-15T04:00:00Z,351,35.720217,37,1.03582797383342
2020-11-15T05:00:00Z,351,35.720217,50,1.39976753220732
2020-11-15T06:00:00Z,351,35.720217,39,1.09181867512171
2020-11-15T07:00:00Z,350,35.61845,42,1.17916416913145
2020-11-15T08:00:00Z,351,35.720217,54,1.51174893478391
2020-11-15T09:00:00Z,351,35.720217,39,1.09181867512171
2020-11-15T10:00:00Z,350,35.61845,40,1.1230134944109
2020-11-15T11:00:00Z,351,35.720217,46,1.28778612963074
2020-11-15T12:00:00Z,351,35.720217,39,1.09181867512171
2020-11-15T13:00:00Z,352,35.821984,23,0.64206382315396
2020-11-15T14:00:00Z,350,35.61845,47,1.31954085593281
